     (m),     (m),   (hPa),    (°C),     (%),(ug/m^3),(ug/m^3),(ug/m^3),   (m/s),     (°),     (K),    (°C),  (g/kg),  (g/kg),     (K),     (K),   (ppb),   (ppm),   (ppb),   (ppb),   (ppm),   (ppb),   (ppm)
     agl,     asl,       P,       T,      RH,     PM1,    PM25,    PM10,      ws,      wd,   theta,      Td,       q,    mixR,      Tv,  thetav,      O3,      CO,     SO2,     NO2,     NH3,     H2S,    TVOC
   342.5,   342.5,  976.43,   18.84,   90.78,      35,      64,      72,    2.71,  300.89,  293.99,   17.30,   12.57,   12.73,  294.23,  296.25,   32.80,     NaN,     NaN,  338.00,     NaN,     NaN,   0.122
   347.5,   347.5,  975.70,   18.82,   90.83,      35,      64,      72,    2.74,  301.19,  294.03,   17.28,   12.57,   12.73,  294.21,  296.28,   32.80,     NaN,     NaN,  328.00,     NaN,     NaN,   0.122
   352.5,   352.5,  975.24,   18.79,   90.88,      35,      64,      72,    2.75,  300.56,  294.04,   17.27,   12.56,   12.72,  294.18,  296.30,   28.33,     NaN,     NaN,  328.00,     NaN,     NaN,   0.121
   357.5,   357.5,  974.78,   18.76,   90.95,      35,      64,      72,    2.76,  299.63,  294.05,   17.24,   12.55,   12.71,  294.14,  296.30,   21.63,     NaN,     NaN,  328.00,     NaN,     NaN,   0.120
   362.5,   362.5,  974.10,   18.72,   91.02,      35,      64,      72,    2.76,  298.92,  294.07,   17.22,   12.54,   12.70,  294.10,  296.32,   19.17,     NaN,     NaN,  327.00,     NaN,     NaN,   0.119
   367.5,   367.5,  973.53,   18.69,   91.07,      35,      64,      72,    2.76,  298.51,  294.09,   17.20,   12.54,   12.69,  294.08,  296.34,   18.93,     NaN,     NaN,  326.00,     NaN,     NaN,   0.119
   372.5,   372.5,  973.01,   18.67,   91.12,      35,      64,      72,    2.77,  298.10,  294.11,   17.19,   12.53,   12.69,  294.05,  296.36,   18.70,     NaN,     NaN,  325.00,     NaN,     NaN,   0.118
   377.5,   377.5,  972.50,   18.63,   91.19,      35,      64,      72,    2.77,  297.68,  294.12,   17.17,   12.52,   12.68,  294.01,  296.37,   17.90,     NaN,     NaN,  328.00,     NaN,     NaN,   0.118
   382.5,   382.5,  971.99,   18.60,   91.26,      35,      64,      72,    2.79,  297.36,  294.13,   17.14,   12.51,   12.67,  293.98,  296.37,   17.00,     NaN,     NaN,  328.00,     NaN,     NaN,   0.118
   387.5,   387.5,  971.44,   18.58,   91.31,      35,      64,      72,    2.81,  297.79,  294.16,   17.13,   12.50,   12.66,  293.95,  296.40,   16.50,     NaN,     NaN,  328.00,     NaN,     NaN,   0.116
